location,coordinate,pinyin
"['新宿', '六本木', '秋葉原']","[(139.7539301, 35.6958626), (139.7501044, 35.6772136), (139.7708276, 35.700937)]","['xin_su', 'liu_ben_mu', 'qiu_ye_yuan']"
"['築地市場', '表參道', '原宿']","[(135.4817481132777, 34.57617795), (138.18920468442002, 36.654419250000004), (139.74693419742476, 35.6254139)]","['zhu_di_shi_chang', 'biao_can_dao', 'yuan_su']"
"['山梨大學', '武田神社']","[(136.95100326121698, 35.16489445), (140.7164981, 41.7604259)]","['shan_li_da_xue', 'wu_tian_shen_she']"
"['高尾', '立川', '新宿']","[(139.2373431476124, 35.72665825), (139.429878, 35.703476), (139.7539301, 35.6958626)]","['gao_wei', 'li_chuan', 'xin_su']"
"['築地', '明治神宮']","[(139.7657629890959, 35.664022200000005), (135.7817919, 35.0162529)]","['zhu_di', 'ming_zhi_shen_gong']"
"['河口湖', '富士']","[(138.7410533, 35.4536743), (139.7946169, 35.7117112)]","['he_kou_hu', 'fu_shi']"
"['淺草', '神田', '吉祥寺', '東京站']","[(140.7328589, 41.7721477), (139.7528105, 35.6956532), (139.5816588, 35.7232102), (139.7732775, 35.716564)]","['qian_cao', 'shen_tian', 'ji_xiang_si', 'dong_jing_zhan']"
"['鐮倉', '江之']","[(139.5272119, 35.345929), (140.32725768758212, 35.95548395)]","['lian_cang', 'jiang_zhi']"
"['輕井澤', '東京']","[(139.7847673, 35.6137445), (139.7256288, 35.6312558)]","['qing_jing_ze', 'dong_jing']"
"['池袋', '新宿']","[(139.7185273, 35.7312152), (139.7657629890959, 35.664022200000005)]","['chi_dai', 'xin_su']"
"['輕井澤', '箱根']","[(139.7847673, 35.6137445), (139.7584178, 35.7223988)]","['qing_jing_ze', 'xiang_gen']"
"['東京', '新瀉']","[(139.7256288, 35.6312558), (138.9589017853492, 37.20416805)]","['dong_jing', 'xin_xie']"
"['京都', '二条城']","[(139.77645538340414, 35.71634805), (135.7509321, 35.012714)]","['jing_du', 'er_tiao_cheng']"
"['橫濱', '東京']","[(139.66218820039327, 35.4817975), (139.7256288, 35.6312558)]","['heng_bin', 'dong_jing']"
"['秋葉原', '御茶之水']","[(140.12176309957977, 39.94093865), (139.73297289105568, 35.71809345)]","['qiu_ye_yuan', 'yu_cha_zhi_shui']"
